merchant_id,merchant_name,region,region_name,industry,industry_name,city,t1,t2,t3,t4,i1,i2,i3,i4,i5
1,商户1,2,二线城市,1,正餐,杭州,0,1,0,0,1,0,0,0,0
2,商户2,3,三四线城市,3,火锅,沈阳,0,0,1,0,0,0,1,0,0
3,商户3,3,三四线城市,3,火锅,厦门,0,0,1,0,0,0,1,0,0
4,商户4,4,县域,1,正餐,江阴,0,0,0,1,1,0,0,0,0
5,商户5,1,一线城市,2,快餐小吃,广州,1,0,0,0,0,1,0,0,0
6,商户6,2,二线城市,4,饮品甜品,南京,0,1,0,0,0,0,0,1,0
7,商户7,4,县域,1,正餐,江阴,0,0,0,1,1,0,0,0,0
8,商户8,3,三四线城市,1,正餐,昆明,0,0,1,0,1,0,0,0,0
9,商户9,3,三四线城市,3,火锅,昆明,0,0,1,0,0,0,1,0,0
10,商户10,2,二线城市,1,正餐,南京,0,1,0,0,1,0,0,0,0
11,商户11,3,三四线城市,2,快餐小吃,大连,0,0,1,0,0,1,0,0,0
12,商户12,4,县域,1,正餐,江阴,0,0,0,1,1,0,0,0,0
13,商户13,3,三四线城市,3,火锅,大连,0,0,1,0,0,0,1,0,0
14,商户14,3,三四线城市,2,快餐小吃,厦门,0,0,1,0,0,1,0,0,0
15,商户15,4,县域,4,饮品甜品,常熟,0,0,0,1,0,0,0,1,0
16,商户16,2,二线城市,2,快餐小吃,杭州,0,1,0,0,0,1,0,0,0
17,商户17,2,二线城市,4,饮品甜品,武汉,0,1,0,0,0,0,0,1,0
18,商户18,1,一线城市,4,饮品甜品,深圳,1,0,0,0,0,0,0,1,0
19,商户19,2,二线城市,1,正餐,长沙,0,1,0,0,1,0,0,0,0
20,商户20,3,三四线城市,2,快餐小吃,福州,0,0,1,0,0,1,0,0,0
21,商户21,2,二线城市,1,正餐,苏州,0,1,0,0,1,0,0,0,0
22,商户22,2,二线城市,4,饮品甜品,天津,0,1,0,0,0,0,0,1,0
23,商户23,2,二线城市,4,饮品甜品,天津,0,1,0,0,0,0,0,1,0
24,商户24,1,一线城市,5,其他,深圳,1,0,0,0,0,0,0,0,1
25,商户25,1,一线城市,1,正餐,北京,1,0,0,0,1,0,0,0,0
26,商户26,1,一线城市,2,快餐小吃,深圳,1,0,0,0,0,1,0,0,0
27,商户27,3,三四线城市,1,正餐,哈尔滨,0,0,1,0,1,0,0,0,0
28,商户28,4,县域,5,其他,其他县级市,0,0,0,1,0,0,0,0,1
